Long Lat Easting Northing Elev ObsGrav TheoreticalCorr AtmosphericCorr FreeAirCorr BougerABCorr TerrCorr TCBougGrav TCBougAn
-111.615594 42.654666 449543.804000 4722650.868000 1741.132000 3208.023000 0.000000 0.874000 0.000000 -0.000000 1.21771 3210.11 0
-111.608678 42.654196 450110.297000 4722594.577000 1746.294000 3207.025000 -0.042383 0.873489 -1.592822 0.577583 1.17245 3210.13 0.02
-111.530181 42.926014 456733.939000 4752735.137000 1862.526000 3203.972000 24.478662 0.862034 -37.456890 13.311373 1.88902 3206.39 -3.72
-111.570068 42.932361 453483.716000 4753461.263000 1867.744000 3205.152000 25.051456 0.861522 -39.066883 13.870847 1.64728 3207.81 -2.3
-111.559917 42.947359 454323.115000 4755121.224000 1906.891000 3198.727000 26.405009 0.857688 -51.145435 18.034858 3.4679 3209.76 -0.35
-111.552490 42.945277 454927.427000 4754885.986000 1933.252000 3192.978000 26.217107 0.855112 -59.278838 20.805748 2.72257 3208.81 -1.3
-111.547933 42.947783 455301.060000 4755161.863000 1937.362000 3191.912000 26.443275 0.854710 -60.546921 21.235367 2.28788 3207.92 -2.19
-111.543511 42.949135 455662.737000 4755309.662000 1939.734000 3190.999000 26.565294 0.854479 -61.278767 21.483018 2.82711 3207.91 -2.2
-111.539495 42.945514 455987.743000 4754905.385000 1903.396000 3197.899000 26.238497 0.858030 -50.067085 17.665489 2.07841 3207 -3.11
-111.533285 42.942469 456492.251000 4754564.060000 1890.709000 3200.198000 25.963686 0.859272 -46.152610 16.320728 1.96831 3206.89 -3.22
-111.560498 42.951092 454278.434000 4755536.028000 1930.204000 3194.148000 26.741916 0.855409 -58.338407 20.486723 3.47359 3209.59 -0.52
-111.610921 42.948873 450163.523000 4755318.290000 1866.428000 3207.588000 26.541649 0.861652 -38.660819 13.729844 1.50668 3208.35 -1.76
-111.625815 42.959861 448957.598000 4756547.366000 1871.443000 3207.434000 27.533342 0.861160 -40.208169 14.266820 1.57165 3208.27 -1.84
-111.623109 42.962761 449180.711000 4756867.790000 1906.335000 3201.220000 27.795079 0.857742 -50.973866 17.976128 1.05153 3208.33 -1.78
-111.615286 42.961636 449817.789000 4756738.159000 1913.792000 3200.633000 27.693542 0.857013 -53.274654 18.762815 1.23941 3209.55 -0.56
-111.605191 42.958192 450638.373000 4756349.776000 1932.129000 3195.546000 27.382709 0.855221 -58.932331 20.688248 1.92566 3209.19 -0.92
-111.608678 42.654196 450110.297000 4722594.577000 1746.294000 3207.025000 -0.042383 0.873489 -1.592822 0.577583 1.17245 3210.13 0.02
-111.595076 42.959563 451464.503000 4756496.086000 1969.176000 3188.568000 27.506446 0.851609 -70.362612 24.539050 3.055 3210.79 0.68
-111.583489 42.959491 452409.496000 4756481.488000 2007.094000 3180.901000 27.499948 0.847922 -82.061423 28.426167 3.31792 3211.2 1.09
-111.576796 42.956727 452953.271000 4756170.783000 2039.242000 3174.093000 27.250488 0.844803 -91.979864 31.678950 2.14922 3210.14 0.03
-111.567242 42.952703 453729.571000 4755718.620000 1988.116000 3183.185000 26.887312 0.849766 -76.206194 26.487506 2.5828 3209.45 -0.66
-111.633230 42.967452 448359.160000 4757394.878000 1891.367000 3204.903000 28.218464 0.859207 -46.355603 16.390625 0.886483 3208.4 -1.71
-111.639316 42.977330 447871.150000 4758495.558000 1903.039000 3203.201000 29.110020 0.858065 -49.956896 17.627733 0.933692 3208.21 -1.9
-111.649172 42.983894 447073.162000 4759230.703000 1897.016000 3204.950000 29.702477 0.858654 -48.098541 16.990011 0.781176 3208 -2.11
-111.657998 42.990989 446359.775000 4760024.167000 1896.606000 3203.505000 30.342874 0.858694 -47.972031 16.946549 0.668289 3205.71 -4.4
-111.662412 42.999538 446007.377000 4760976.309000 1893.774000 3205.189000 31.114524 0.858971 -47.098228 16.646169 0.658163 3206.04 -4.07
-111.667765 43.007381 445577.978000 4761850.728000 1893.059000 3207.810000 31.822465 0.859041 -46.877611 16.570283 0.68967 3207.84 -2.27
-111.675398 43.013768 444961.648000 4762565.029000 1885.263000 3208.313000 32.398992 0.859805 -44.472202 15.741585 0.754815 3206.26 -3.85
-111.684449 43.020147 444229.842000 4763279.407000 1862.017000 3212.306000 32.974806 0.862084 -37.299752 13.256742 0.929609 3205.17 -4.94
-111.695367 43.023211 443343.058000 4763626.913000 1864.490000 3209.796000 33.251387 0.861842 -38.062785 13.522076 0.852564 3202.8 -7.31
-111.705724 43.026445 442502.147000 4763993.142000 1866.547000 3211.784000 33.543317 0.861640 -38.697462 13.742597 1.0385 3205.1 -5.01
-111.718040 43.023586 441496.008000 4763684.077000 1877.361000 3216.278000 33.285238 0.860579 -42.034076 14.899241 1.03016 3212.02 1.91
-111.728718 43.021281 440623.801000 4763435.699000 1878.101000 3221.766000 33.077170 0.860507 -42.262401 14.978226 0.962109 3217.8 7.69
-111.727779 43.013019 440692.314000 4762517.499000 1873.244000 3221.592000 32.331382 0.860983 -40.763806 14.459424 0.668016 3217.09 6.98
-111.727721 43.003411 440687.831000 4761450.517000 1869.076000 3219.073000 31.464115 0.861392 -39.477797 14.013496 0.750622 3214.69 4.58
-111.728038 42.995801 440654.680000 4760605.617000 1870.149000 3220.313000 30.777213 0.861287 -39.808875 14.128358 0.612956 3216.69 6.58
-111.727510 42.988004 440690.209000 4759739.444000 1865.057000 3219.654000 30.073446 0.861786 -38.237764 13.582877 0.524883 3215.62 5.51
-111.727893 42.976410 440647.870000 4758452.139000 1871.815000 3217.020000 29.026983 0.861123 -40.322932 14.306613 0.490397 3215.36 5.25
-111.727897 42.966284 440637.747000 4757327.681000 1866.024000 3214.890000 28.113046 0.861691 -38.536150 13.686544 0.495162 3212.98 2.87
-111.709917 42.959193 442097.409000 4756527.676000 1861.900000 3217.078000 27.473052 0.862096 -37.263708 13.244183 0.570182 3215.06 4.95
-111.691626 42.947262 443578.450000 4755190.417000 1872.325000 3213.168000 26.396254 0.861073 -40.480319 14.361159 1.5435 3215.3 5.19
-111.608678 42.654196 450110.297000 4722594.577000 1746.294000 3207.025000 -0.042383 0.873489 -1.592822 0.577583 1.17245 3210.13 0.02
-111.588547 42.834922 451900.207000 4742651.406000 1907.517000 3180.738000 16.259034 0.857626 -51.338724 18.100967 1.77363 3200.35 -10.24
